source_key,source_url,source_table,source_row,retrieved_at,Name | Introduced into service before 1947,Origin | Introduced into service before 1947,Primary role(s) | Introduced into service before 1947,Introduced | Introduced into service before 1947,Retired | Introduced into service before 1947,Count | Introduced into service before 1947,Notes | Introduced into service before 1947
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,68,2026-09-15T03:49:19Z,HAL Ajeet Mk.1,India,Fighter,1977,1991,89,[i]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,69,2026-09-15T03:49:19Z,HAL HPT-32 Deepak,India,Primary trainer,1984,2009,144,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,70,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-23UB,Soviet Union,Conversion trainer,1980,2019,15,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,71,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-23BN,Soviet Union,Fighter-bomber,1981,2009,95,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,72,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-23MF,Soviet Union,Fighter,1982,2007,40,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,73,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-25RBK/RU,Soviet Union,Reconnaissance,1981,2006,10,[j]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,74,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-27ML,Soviet Union,Fighter,1985,2019,165,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,75,2026-09-15T03:49:19Z,PZL TS-11 Iskra bis-D,Poland,Basic trainer,1975,2004,76,[k]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,76,2026-09-15T03:49:19Z,SEPECAT Jaguar IS GR.1,United Kingdom/France,Ground attack,1979,1984,16,[l]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,77,2026-09-15T03:49:19Z,Sukhoi Su-30K,Russia,Multirole,1996,2007,18,[m]
